Code,Text
PRED,while security forces are more likely to be prediction and physical-measures oriented. 
PRED,focused on planning and prediction practices in preparation for future terrorist attacks. 
IDEN,identifying potential targets 
PRED,preparing a recovery plan 
PRED,developing statistical forecasting systems and destination-specific antiterrorism action plans. 
PRED,police chiefs tend to assign greater importance to prediction 
PRED,prediction could be highly feasible in preventing terrorist attacks in tourism destinations. 
FEAS,While prediction was ranked the least feasible category of terrorism prevention practices by tourism directors 
TECH,The desire and potential exist for identifying and responding to issues in real time for more effective emergency man agement as well as improved public safety and general quality of life. For example critical events of interest e.g. earthquake flas mob gatherings protests etc. can be identified as spikes in the social media volume. 
TECH,Data mining of diverse real-time feeds of social streams related to real-world events is needed to enable officials to make sense of the vast amount of information generated 
TECH,For public safety enhancement the data from networked cameras on roads and in public places can be connected with other data sources for example Internet use hotel stays and trips to identify and track criminals. 
ARIN,IoT-enabled AI technologies can be applied in key areas of smart government mainly to improve the efficiency of governance and the quality of life of citizens 
TECH,In new high-tech projects such as the Google Sidewalk Labs' Smart City in Toronto residents will be constantly tracked for instance by sensors embedded in the infrastructures as traffic lights thermostats and garbage-disposal units. 
TECH,surveillance by addressing safety from the standpoint of the subjective experience. The proposed concept particularly focuses on the role of urban lighting in the prevention of crime and assaults and in the perception of personal safety in the public space. 
ARIN,we demonstrate that a predictor trained using generic image features and the scores of perceived safety from a crowdsourced study can accurately predict the safety scores of streetscapes not used in the training dataset 
ARIN,We convert these preferences to a ranked score for each image using the Microsoft Trueskill algorithmTrueskill uses a Bayesian graphical model to rate players competing in online games. 
PRED,we describe Streetscore a scene understanding algorithm that predicts the perceived safety of a streetscape using training data from an online survey with contributions from more than 7000 participants. 
ARIN,which models the problem of computing randomized traffic patrol strategies as a defender attacker Stackelberg game. 
BPGO,STREETS is currently in the process of being evaluated by the Singapore Police Force 
TECH,To construct the graph for the road network in the Singapore Central Business District CBD shown in Figure 1 we used data from OpenStreetMap OSM 2. 
BPGO,ARMOR for Los Angeles International Airport 
ARIN,The ARMOR system Assistant for Randomized Monitoring over Routes focuses on two of the security measures at LAX checkpoints and canine patrols and optimizes security resource allocation using Bayesian Stackelberg games. 
ARIN,ARMOR models different types of attackers with different payoff functions representing different capabilities and preferences for the attacker. ARMOR uses DOBSS Decomposed Optimal Bayesian Stackelberg Solver 
BPGO,Against this background the IRIS system Intelligent Randomization In Scheduling has been developed and has been deployed by FAMS since October 2009 to randomize schedules of air marshals on international flights 
